genome	biosample	clade	label
GCA_015773235.1_ASM1577323v1	SAMN09401446	II	human
GCA_015773215.1_ASM1577321v1	SAMN09401447	II	human
GCA_015773095.1_ASM1577309v1	SAMN09401415	II	human
GCA_015773075.1_ASM1577307v1	SAMN09401420	II	human
GCA_015773055.1_ASM1577305v1	SAMN09401422	II	human
GCA_015773025.1_ASM1577302v1	SAMN09401425	II	human
GCA_015773015.1_ASM1577301v1	SAMN09401423	II	human
GCA_015772995.1_ASM1577299v1	SAMN09401426	II	human
GCA_015772975.1_ASM1577297v1	SAMN09401429	II	human
GCA_015772935.1_ASM1577293v1	SAMN09401448	II	human
GCA_015772945.1_ASM1577294v1	SAMN09401431	II	human
GCA_015772905.1_ASM1577290v1	SAMN09401449	II	human
GCA_015772885.1_ASM1577288v1	SAMN09401450	II	human
GCA_015772875.1_ASM1577287v1	SAMN09401451	II	human
GCA_015772855.1_ASM1577285v1	SAMN09401453	II	human
GCA_015772825.1_ASM1577282v1	SAMN09401452	II	human
GCA_015772815.1_ASM1577281v1	SAMN09401454	II	human
GCA_015772795.1_ASM1577279v1	SAMN09401457	II	human
GCA_015772775.1_ASM1577277v1	SAMN09401456	II	human
GCA_015772745.1_ASM1577274v1	SAMN09401458	II	human
GCA_015772725.1_ASM1577272v1	SAMN09401459	II	human
GCA_015772715.1_ASM1577271v1	SAMN09401460	II	human
GCA_015772685.1_ASM1577268v1	SAMN09401462	II	human
GCA_015772665.1_ASM1577266v1	SAMN09401463	II	human
GCA_015772655.1_ASM1577265v1	SAMN09401465	II	human
GCA_015772635.1_ASM1577263v1	SAMN09401461	II	human
GCA_015772615.1_ASM1577261v1	SAMN09401468	II	human
GCA_015772585.1_ASM1577258v1	SAMN09401469	II	human
GCA_015772575.1_ASM1577257v1	SAMN09401470	II	human
GCA_015772545.1_ASM1577254v1	SAMN09401471	II	human
GCA_015772535.1_ASM1577253v1	SAMN10437259	II	human
GCA_015772515.1_ASM1577251v1	SAMN10437260	II	human
GCA_015772485.1_ASM1577248v1	SAMN10437261	II	human
GCA_015772465.1_ASM1577246v1	SAMN10437265	II	human
GCA_015772455.1_ASM1577245v1	SAMN10437266	II	human
GCA_015772435.1_ASM1577243v1	SAMN10437263	II	human
GCA_015772405.1_ASM1577240v1	SAMN10437267	II	human
GCA_015772375.1_ASM1577237v1	SAMN10437269	II	human
GCA_015772355.1_ASM1577235v1	SAMN10437268	II	human
GCA_015772345.1_ASM1577234v1	SAMN10437270	II	human
GCA_015772335.1_ASM1577233v1	SAMN10437271	II	human
GCA_015772285.1_ASM1577228v1	SAMN10437272	II	human
GCA_015772255.1_ASM1577225v1	SAMN10437275	II	human
GCA_015772265.1_ASM1577226v1	SAMN10437276	II	human
GCA_015772245.1_ASM1577224v1	SAMN10437273	II	human
GCA_015772235.1_ASM1577223v1	SAMN10437274	II	human
GCA_015772215.1_ASM1577221v1	SAMN10437279	II	human
GCA_015772185.1_ASM1577218v1	SAMN10437277	II	human
GCA_015772165.1_ASM1577216v1	SAMN10437278	II	human
GCA_015772145.1_ASM1577214v1	SAMN10437283	II	human
GCA_015772135.1_ASM1577213v1	SAMN10437280	II	human
GCA_015772115.1_ASM1577211v1	SAMN10437281	II	human
GCA_015772075.1_ASM1577207v1	SAMN10437286	II	human
GCA_015772085.1_ASM1577208v1	SAMN10437284	II	human
GCA_015772055.1_ASM1577205v1	SAMN10437285	II	human
GCA_015772025.1_ASM1577202v1	SAMN10437290	II	human
GCA_015772015.1_ASM1577201v1	SAMN10437287	II	human
GCA_015771965.1_ASM1577196v1	SAMN10437291	II	human
GCA_015771975.1_ASM1577197v1	SAMN10437293	II	human
GCA_015771955.1_ASM1577195v1	SAMN10437295	II	human
GCA_015771935.1_ASM1577193v1	SAMN10437294	II	human
GCA_015771915.1_ASM1577191v1	SAMN10437296	II	human
GCA_015771865.1_ASM1577186v1	SAMN10437299	II	human
GCA_015771845.1_ASM1577184v1	SAMN10437298	II	human
GCA_015771855.1_ASM1577185v1	SAMN10437297	II	human
GCA_015771835.1_ASM1577183v1	SAMN10437301	II	human
GCA_015771815.1_ASM1577181v1	SAMN10437300	II	human
GCA_015771785.1_ASM1577178v1	SAMN10437302	II	human
GCA_015771775.1_ASM1577177v1	SAMN10437304	II	human
GCA_015771725.1_ASM1577172v1	SAMN10437305	II	human
GCA_015771745.1_ASM1577174v1	SAMN10437306	II	human
GCA_015771715.1_ASM1577171v1	SAMN10437307	II	human
GCA_015771695.1_ASM1577169v1	SAMN10437311	II	human
GCA_015771675.1_ASM1577167v1	SAMN10437310	II	human
GCA_015771655.1_ASM1577165v1	SAMN10437314	II	human
GCA_015771635.1_ASM1577163v1	SAMN10437312	II	human
GCA_015771615.1_ASM1577161v1	SAMN10437315	II	human
GCA_015771595.1_ASM1577159v1	SAMN10437313	II	human
GCA_015771565.1_ASM1577156v1	SAMN10437317	II	human
GCA_015771555.1_ASM1577155v1	SAMN10437318	II	human
GCA_015771525.1_ASM1577152v1	SAMN10437319	II	human
GCA_015771515.1_ASM1577151v1	SAMN10437316	II	human
GCA_015771495.1_ASM1577149v1	SAMN10437320	II	human
GCA_015771465.1_ASM1577146v1	SAMN10437321	II	human
GCA_015771445.1_ASM1577144v1	SAMN10437323	II	human
GCA_015771435.1_ASM1577143v1	SAMN10437322	II	human
GCA_015771395.1_ASM1577139v1	SAMN10437324	II	human
GCA_015771405.1_ASM1577140v1	SAMN10437325	II	human
GCA_015771365.1_ASM1577136v1	SAMN10437326	II	human
GCA_015771355.1_ASM1577135v1	SAMN10437327	II	human
GCA_015771315.1_ASM1577131v1	SAMN10437328	II	human
GCA_015771305.1_ASM1577130v1	SAMN10437330	II	human
GCA_015771295.1_ASM1577129v1	SAMN10437329	II	human
GCA_015771275.1_ASM1577127v1	SAMN10437331	II	human
GCA_015771255.1_ASM1577125v1	SAMN10437333	II	human
GCA_015771215.1_ASM1577121v1	SAMN10437335	II	human
GCA_015771205.1_ASM1577120v1	SAMN10437336	II	human
GCA_015771195.1_ASM1577119v1	SAMN10437334	II	human
GCA_015771175.1_ASM1577117v1	SAMN10437337	II	human
GCA_015771145.1_ASM1577114v1	SAMN10437338	II	human
GCA_015771135.1_ASM1577113v1	SAMN10437339	II	human
GCA_015771105.1_ASM1577110v1	SAMN10437341	II	human
GCA_015771095.1_ASM1577109v1	SAMN10437340	II	human
GCA_015771075.1_ASM1577107v1	SAMN10437342	II	human
GCA_015771045.1_ASM1577104v1	SAMN10437344	II	human
GCA_015771035.1_ASM1577103v1	SAMN10437345	II	human
GCA_015771005.1_ASM1577100v1	SAMN10437346	II	human
GCA_015770995.1_ASM1577099v1	SAMN10437347	II	human
GCA_015770975.1_ASM1577097v1	SAMN10437348	II	human
GCA_015770955.1_ASM1577095v1	SAMN10437350	II	human
GCA_015770935.1_ASM1577093v1	SAMN10437349	II	human
GCA_015770895.1_ASM1577089v1	SAMN10437351	II	human
GCA_015770905.1_ASM1577090v1	SAMN10437355	II	human
GCA_015770865.1_ASM1577086v1	SAMN10437353	II	human
GCA_015770855.1_ASM1577085v1	SAMN10437352	II	human
GCA_015770825.1_ASM1577082v1	SAMN10437357	II	human
GCA_015770815.1_ASM1577081v1	SAMN10437356	II	human
GCA_015770785.1_ASM1577078v1	SAMN10437358	II	human
GCA_015770765.1_ASM1577076v1	SAMN10437359	II	human
GCA_015770755.1_ASM1577075v1	SAMN10437360	II	human
GCA_015770735.1_ASM1577073v1	SAMN10437361	II	human
GCA_015770695.1_ASM1577069v1	SAMN10437364	II	human
GCA_015770675.1_ASM1577067v1	SAMN10437363	II	human
GCA_015770685.1_ASM1577068v1	SAMN10437362	II	human
GCA_015770645.1_ASM1577064v1	SAMN10437366	II	human
GCA_015770635.1_ASM1577063v1	SAMN10437368	II	human
GCA_015770615.1_ASM1577061v1	SAMN10437365	II	human
GCA_015770595.1_ASM1577059v1	SAMN10437367	II	human
GCA_015770575.1_ASM1577057v1	SAMN10437370	II	human
GCA_015770535.1_ASM1577053v1	SAMN10437375	II	human
GCA_015770505.1_ASM1577050v1	SAMN10437372	II	human
GCA_015770515.1_ASM1577051v1	SAMN10437373	II	human
GCA_015770495.1_ASM1577049v1	SAMN10437371	II	human
GCA_015770445.1_ASM1577044v1	SAMN10437376	II	human
GCA_015770415.1_ASM1577041v1	SAMN10437379	II	human
GCA_015770405.1_ASM1577040v1	SAMN10437377	II	human
GCA_015770395.1_ASM1577039v1	SAMN10437378	II	human
GCA_015770375.1_ASM1577037v1	SAMN10437380	II	human
GCA_015770325.1_ASM1577032v1	SAMN10437381	II	human
GCA_015770315.1_ASM1577031v1	SAMN10437383	II	human
GCA_015770305.1_ASM1577030v1	SAMN10437384	II	human
GCA_015770295.1_ASM1577029v1	SAMN10437387	II	human
GCA_015770275.1_ASM1577027v1	SAMN10437389	II	human
GCA_015770255.1_ASM1577025v1	SAMN10437390	II	human
GCA_015770225.1_ASM1577022v1	SAMN10437391	II	human
GCA_015770215.1_ASM1577021v1	SAMN10437392	II	human
GCA_015770185.1_ASM1577018v1	SAMN10437393	II	human
GCA_015770175.1_ASM1577017v1	SAMN10437394	II	human
GCA_015770155.1_ASM1577015v1	SAMN10437395	II	human
GCA_015770105.1_ASM1577010v1	SAMN10437398	II	human
GCA_015770125.1_ASM1577012v1	SAMN10437396	II	human
GCA_015770085.1_ASM1577008v1	SAMN10437400	II	human
GCA_015770075.1_ASM1577007v1	SAMN10437399	II	human
GCA_015770055.1_ASM1577005v1	SAMN10437401	II	human
GCA_015770025.1_ASM1577002v1	SAMN10437403	II	human
GCA_015770015.1_ASM1577001v1	SAMN10437402	II	human
GCA_015769985.1_ASM1576998v1	SAMN10437405	II	human
GCA_015769975.1_ASM1576997v1	SAMN10437407	II	human
GCA_015769945.1_ASM1576994v1	SAMN10437409	II	human
GCA_015769935.1_ASM1576993v1	SAMN10437408	II	human
GCA_015769915.1_ASM1576991v1	SAMN10437410	II	human
GCA_015769895.1_ASM1576989v1	SAMN10437411	II	human
GCA_015769865.1_ASM1576986v1	SAMN10437412	II	human
GCA_015769835.1_ASM1576983v1	SAMN10437413	II	human
GCA_015769845.1_ASM1576984v1	SAMN10437414	II	human
GCA_015769815.1_ASM1576981v1	SAMN10437415	II	human
GCA_015769785.1_ASM1576978v1	SAMN10437416	II	human
GCA_015769755.1_ASM1576975v1	SAMN10437417	II	human
GCA_015769745.1_ASM1576974v1	SAMN10437418	II	human
GCA_015769735.1_ASM1576973v1	SAMN10437419	II	human
GCA_015769715.1_ASM1576971v1	SAMN10437420	II	human
GCA_015769685.1_ASM1576968v1	SAMN10437421	II	human
GCA_015769655.1_ASM1576965v1	SAMN10437422	II	human
GCA_015769645.1_ASM1576964v1	SAMN10437424	II	human
GCA_015769635.1_ASM1576963v1	SAMN10437423	II	human
GCA_015769615.1_ASM1576961v1	SAMN10437425	II	human
GCA_015769595.1_ASM1576959v1	SAMN10437426	II	human
GCA_015769555.1_ASM1576955v1	SAMN10437428	II	human
GCA_015769535.1_ASM1576953v1	SAMN10437430	II	human
GCA_015769545.1_ASM1576954v1	SAMN10437429	II	human
GCA_015769515.1_ASM1576951v1	SAMN10437431	II	human
GCA_015769495.1_ASM1576949v1	SAMN10437432	II	human
GCA_015769465.1_ASM1576946v1	SAMN10437434	II	human
GCA_015769455.1_ASM1576945v1	SAMN10437433	II	human
GCA_015769435.1_ASM1576943v1	SAMN10437435	II	human
GCA_015769415.1_ASM1576941v1	SAMN10437436	II	human
GCA_015769395.1_ASM1576939v1	SAMN10437437	II	human
GCA_015769375.1_ASM1576937v1	SAMN10437438	II	human
GCA_015769335.1_ASM1576933v1	SAMN10437439	II	human
GCA_015769325.1_ASM1576932v1	SAMN10437440	II	human
GCA_015769315.1_ASM1576931v1	SAMN10437441	II	human
GCA_015769295.1_ASM1576929v1	SAMN10437442	II	human
GCA_015769275.1_ASM1576927v1	SAMN10437443	II	human
GCA_015769235.1_ASM1576923v1	SAMN10437444	II	human
GCA_015769225.1_ASM1576922v1	SAMN10437446	II	human
GCA_015769215.1_ASM1576921v1	SAMN10437447	II	human
GCA_015769195.1_ASM1576919v1	SAMN10437445	II	human
GCA_015769175.1_ASM1576917v1	SAMN10437448	II	human
GCA_015769155.1_ASM1576915v1	SAMN10437449	II	human
GCA_015769115.1_ASM1576911v1	SAMN10437451	II	human
GCA_015769105.1_ASM1576910v1	SAMN10437450	II	human
GCA_015769095.1_ASM1576909v1	SAMN10437454	II	human
GCA_015769075.1_ASM1576907v1	SAMN10437452	II	human
GCA_015769025.1_ASM1576902v1	SAMN10437456	II	human
GCA_015769035.1_ASM1576903v1	SAMN10437458	II	human
GCA_015769005.1_ASM1576900v1	SAMN10437457	II	human
GCA_015768985.1_ASM1576898v1	SAMN10437459	II	human
GCA_015768975.1_ASM1576897v1	SAMN10437460	II	human
GCA_015768945.1_ASM1576894v1	SAMN10437461	II	human
GCA_015768915.1_ASM1576891v1	SAMN10437464	II	human
GCA_015768905.1_ASM1576890v1	SAMN10437465	II	human
GCA_015768895.1_ASM1576889v1	SAMN10437462	II	human
GCA_015768875.1_ASM1576887v1	SAMN10437463	II	human
GCA_015768845.1_ASM1576884v1	SAMN10437467	II	human
GCA_015768835.1_ASM1576883v1	SAMN10437468	II	human
GCA_015768815.1_ASM1576881v1	SAMN10437470	II	human
GCA_015768785.1_ASM1576878v1	SAMN10437469	II	human
GCA_015768775.1_ASM1576877v1	SAMN10437472	II	human
GCA_015768755.1_ASM1576875v1	SAMN10437474	II	human
GCA_015768725.1_ASM1576872v1	SAMN10437475	II	human
GCA_015768715.1_ASM1576871v1	SAMN10437473	II	human
GCA_015768695.1_ASM1576869v1	SAMN10437476	II	human
GCA_015768675.1_ASM1576867v1	SAMN10437477	II	human
GCA_015768655.1_ASM1576865v1	SAMN10437478	II	human
GCA_015768625.1_ASM1576862v1	SAMN10437479	II	human
GCA_015768605.1_ASM1576860v1	SAMN10437482	II	human
GCA_015768585.1_ASM1576858v1	SAMN10437483	II	human
GCA_015768575.1_ASM1576857v1	SAMN10437481	II	human
GCA_015768555.1_ASM1576855v1	SAMN10437484	II	human
GCA_015768535.1_ASM1576853v1	SAMN10437486	II	human
GCA_015768495.1_ASM1576849v1	SAMN10437487	II	human
GCA_015768485.1_ASM1576848v1	SAMN10437488	II	human
GCA_015768475.1_ASM1576847v1	SAMN10437489	II	human
GCA_015768455.1_ASM1576845v1	SAMN10437490	II	human
GCA_015768425.1_ASM1576842v1	SAMN10437491	II	human
GCA_015768415.1_ASM1576841v1	SAMN10437492	II	human
GCA_015768375.1_ASM1576837v1	SAMN10437493	II	human
GCA_015768365.1_ASM1576836v1	SAMN10437495	II	human
GCA_015768355.1_ASM1576835v1	SAMN10437494	II	human
GCA_015768335.1_ASM1576833v1	SAMN10437497	II	human
GCA_015768305.1_ASM1576830v1	SAMN10437496	II	human
GCA_015768285.1_ASM1576828v1	SAMN10437498	II	human
GCA_015768265.1_ASM1576826v1	SAMN10437501	II	human
GCA_015768255.1_ASM1576825v1	SAMN10437500	II	human
GCA_015768225.1_ASM1576822v1	SAMN10437502	II	human
GCA_015768185.1_ASM1576818v1	SAMN10437503	II	human
GCA_015768175.1_ASM1576817v1	SAMN10437508	II	human
GCA_015768155.1_ASM1576815v1	SAMN10437504	II	human
GCA_015768165.1_ASM1576816v1	SAMN10437509	II	human
GCA_015768125.1_ASM1576812v1	SAMN10437510	II	human
GCA_015768105.1_ASM1576810v1	SAMN10437511	II	human
GCA_015768085.1_ASM1576808v1	SAMN10437518	II	human
GCA_015768065.1_ASM1576806v1	SAMN10437512	II	human
GCA_015768055.1_ASM1576805v1	SAMN10437517	II	human
GCA_015767995.1_ASM1576799v1	SAMN10437520	II	human
GCA_015767985.1_ASM1576798v1	SAMN10437516	II	human
GCA_015767975.1_ASM1576797v1	SAMN10437521	II	human
GCA_015767955.1_ASM1576795v1	SAMN10437519	II	human
GCA_015767965.1_ASM1576796v1	SAMN10437522	II	human
GCA_015767715.1_ASM1576771v1	SAMN16925192	II	food
GCA_015767695.1_ASM1576769v1	SAMN16925096	II	na
GCA_015751085.1_ASM1575108v1	SAMD00255147	II	food
GCA_015751065.1_ASM1575106v1	SAMD00255146	II	food
GCA_015751045.1_ASM1575104v1	SAMD00255145	II	food
GCA_015732725.1_PDT000901982.1	SAMN16984674	I	animal
GCA_015732705.1_PDT000901968.1	SAMN16984631	I	animal
GCA_015732395.1_PDT000901971.1	SAMN16984650	I	animal
GCA_015731885.1_PDT000901978.1	SAMN16984648	I	animal
GCA_015729885.1_PDT000901985.1	SAMN16984665	I	animal
GCA_015500355.1_PDT000618946.1	SAMN12768594	II	human
GCA_015500335.1_PDT000618990.1	SAMN12768590	II	human
GCA_015500315.1_PDT000619038.1	SAMN12768611	II	human
GCA_015500295.1_PDT000619049.1	SAMN12768610	II	human
GCA_015500275.1_PDT000619083.1	SAMN12768607	II	human
GCA_015500255.1_PDT000618723.1	SAMN12768604	II	human
GCA_015500215.1_PDT000619050.1	SAMN12768583	II	human
GCA_015500225.1_PDT000619094.1	SAMN12768606	II	human
GCA_015500195.1_PDT000620245.1	SAMN13153495	II	food
GCA_015500175.1_PDT000618763.1	SAMN12768644	II	human
GCA_015706555.1_ASM1570655v1	SAMN10437523	II	human
GCA_015706535.1_ASM1570653v1	SAMN10437525	II	human
GCA_015706515.1_ASM1570651v1	SAMN10437526	II	human
GCA_015706495.1_ASM1570649v1	SAMN10437527	II	human
GCA_015706455.1_ASM1570645v1	SAMN10437529	II	human
GCA_015706445.1_ASM1570644v1	SAMN10437528	II	human
GCA_015706435.1_ASM1570643v1	SAMN10437530	II	human
GCA_015706415.1_ASM1570641v1	SAMN10437531	II	human
GCA_015706395.1_ASM1570639v1	SAMN10437532	II	human
GCA_015706355.1_ASM1570635v1	SAMN10437535	II	human
GCA_015706345.1_ASM1570634v1	SAMN10437536	II	human
GCA_015706335.1_ASM1570633v1	SAMN10437533	II	human
GCA_015706305.1_ASM1570630v1	SAMN13622314	II	human
GCA_015706295.1_ASM1570629v1	SAMN11285807	II	human
GCA_015706235.1_ASM1570623v1	SAMN13622317	II	human
GCA_015706255.1_ASM1570625v1	SAMN13622318	II	human
GCA_015706225.1_ASM1570622v1	SAMN13622315	II	human
GCA_015706205.1_ASM1570620v1	SAMN13622319	II	human
GCA_015706195.1_ASM1570619v1	SAMN13622320	II	human
GCA_015706145.1_ASM1570614v1	SAMN13622322	II	human
GCA_015706125.1_ASM1570612v1	SAMN10437542	II	human
GCA_015706115.1_ASM1570611v1	SAMN13622323	II	human
GCA_015706135.1_ASM1570613v1	SAMN13622321	II	human
GCA_015706095.1_ASM1570609v1	SAMN13622324	II	human
GCA_015706055.1_ASM1570605v1	SAMN13622325	II	human
GCA_015706045.1_ASM1570604v1	SAMN13622327	II	human
GCA_015706035.1_ASM1570603v1	SAMN13622329	II	human
GCA_015706005.1_ASM1570600v1	SAMN13622330	II	human
GCA_015705995.1_ASM1570599v1	SAMN13622331	II	human
GCA_015705975.1_ASM1570597v1	SAMN13622332	II	human
GCA_015705945.1_ASM1570594v1	SAMN13622335	II	human
GCA_015705935.1_ASM1570593v1	SAMN13622333	II	human
GCA_015705915.1_ASM1570591v1	SAMN13622334	II	human
GCA_015705895.1_ASM1570589v1	SAMN13622336	II	human
GCA_015705875.1_ASM1570587v1	SAMN13622337	II	human
GCA_015705855.1_ASM1570585v1	SAMN13622338	II	human
GCA_015705825.1_ASM1570582v1	SAMN13622339	II	human
GCA_015705815.1_ASM1570581v1	SAMN13622340	II	human
GCA_015705795.1_ASM1570579v1	SAMN13622341	II	human
GCA_015705765.1_ASM1570576v1	SAMN13622342	II	human
GCA_015705745.1_ASM1570574v1	SAMN13622344	II	human
GCA_015705735.1_ASM1570573v1	SAMN13622343	II	human
GCA_015705715.1_ASM1570571v1	SAMN13622345	II	human
GCA_015705695.1_ASM1570569v1	SAMN13622346	II	human
GCA_015705655.1_ASM1570565v1	SAMN13622347	II	human
GCA_015705645.1_ASM1570564v1	SAMN13622348	II	human
GCA_015705635.1_ASM1570563v1	SAMN13622349	II	human
GCA_015705615.1_ASM1570561v1	SAMN13622350	II	human
GCA_015705595.1_ASM1570559v1	SAMN13622351	II	human
GCA_015705565.1_ASM1570556v1	SAMN16340270	II	human
GCA_015705545.1_ASM1570554v1	SAMN13622352	II	human
GCA_015705535.1_ASM1570553v1	SAMN13622353	II	human
GCA_015705515.1_ASM1570551v1	SAMN13622354	II	human
GCA_015705495.1_ASM1570549v1	SAMN13622355	II	human
GCA_015705475.1_ASM1570547v1	SAMN13622356	II	human
GCA_015705435.1_ASM1570543v1	SAMN13622357	II	human
GCA_015705425.1_ASM1570542v1	SAMN13622359	II	human
GCA_015705415.1_ASM1570541v1	SAMN13622358	II	human
GCA_015705395.1_ASM1570539v1	SAMN13622360	II	human
GCA_015705355.1_ASM1570535v1	SAMN13622361	II	human
GCA_015705345.1_ASM1570534v1	SAMN16340317	II	human
GCA_015705325.1_ASM1570532v1	SAMN13622362	II	human
GCA_015705315.1_ASM1570531v1	SAMN11285366	II	human
GCA_015705295.1_ASM1570529v1	SAMN11285397	I	human
GCA_015705255.1_ASM1570525v1	SAMN11285652	II	human
GCA_015705235.1_ASM1570523v1	SAMN11285503	II	human
GCA_015705245.1_ASM1570524v1	SAMN11285581	II	human
GCA_015705215.1_ASM1570521v1	SAMN09401472	II	human
GCA_015703745.1_ASM1570374v1	SAMN13622363	II	human
GCA_015692505.1_PDT000898444.1	SAMN16882222	I	animal
GCA_015690905.1_PDT000898084.1	SAMN16895716	I	animal
GCA_015680865.1_ASM1568086v1	SAMN16092249	II	animal
GCA_015671075.1_ASM1567107v1	SAMN15533173	II	human
GCA_015670665.1_ASM1567066v1	SAMN15533223	IV	human
GCA_015670655.1_ASM1567065v1	SAMN15533301	I	human
GCA_015670515.1_ASM1567051v1	SAMN15533115	II	human
GCA_015670415.1_ASM1567041v1	SAMN15532362	II	human
GCA_015670205.1_ASM1567020v1	SAMN15533242	IV	human
GCA_015669995.1_ASM1566999v1	SAMN15533050	III	human
GCA_015669955.1_ASM1566995v1	SAMN15532814	I	human
GCA_015669905.1_ASM1566990v1	SAMN15532812	I	human
GCA_015669595.1_ASM1566959v1	SAMN15533043	II	human
GCA_015669545.1_ASM1566954v1	SAMN15532663	IV	human
GCA_015669255.1_ASM1566925v1	SAMN15532923	I	human
GCA_015669235.1_ASM1566923v1	SAMN15533131	II	human
GCA_015669035.1_ASM1566903v1	SAMN15533004	II	human
GCA_015668995.1_ASM1566899v1	SAMN15533006	II	human
GCA_015668905.1_ASM1566890v1	SAMN15533310	II	human
GCA_015668725.1_ASM1566872v1	SAMN15533088	I	human
GCA_015665985.1_PDT000741619.1	SAMN12639982	II	human
GCA_015665965.1_PDT000741618.1	SAMN12640024	II	human
GCA_015665945.1_PDT000741853.1	SAMN12640088	II	human
GCA_015665915.1_PDT000741855.1	SAMN12640138	II	human
GCA_015665905.1_PDT000745233.1	SAMN12697379	II	human
GCA_015665885.1_PDT000742149.1	SAMN12639528	II	human
GCA_015665845.1_PDT000820300.1	SAMN12916653	II	human
GCA_015665865.1_PDT000742148.1	SAMN12639501	II	human
GCA_015665805.1_PDT000820572.1	SAMN15566669	II	human
GCA_015665785.1_PDT000820365.1	SAMN12916594	II	human
GCA_015668055.1_ASM1566805v1	SAMN15532517	I	human
GCA_015667865.1_ASM1566786v1	SAMN15532387	I	human
GCA_015667345.1_ASM1566734v1	SAMN15532576	III	human
GCA_015667235.1_ASM1566723v1	SAMN15533270	IV	human
GCA_015667175.1_ASM1566717v1	SAMN15533079	II	human
GCA_015667125.1_ASM1566712v1	SAMN15533070	I	human
GCA_015665685.1_PDT000866015.1	SAMN15598816	II	human
GCA_015665665.1_PDT000865869.1	SAMN14074557	II	human
GCA_015665605.1_PDT000744211.1	SAMN10232975	II	human
GCA_015645405.1_ASM1564540v1	SAMN16686137	I	human
GCA_015642685.1_PDT000893851.1	SAMEA103917779	II	food
GCA_015632245.1_PDT000893991.1	SAMN10888085	II	human
GCA_015632145.1_PDT000893990.1	SAMN10888086	II	human
GCA_015627645.1_PDT000618808.1	SAMN12768629	II	human
GCA_015627625.1_PDT000618979.1	SAMN12768591	II	human
GCA_015627605.1_PDT000618885.1	SAMN12768597	II	human
GCA_015627585.1_PDT000618815.1	SAMN12768622	II	human
GCA_015627565.1_PDT000618814.1	SAMN12768623	II	human
GCA_015627545.1_PDT000618853.1	SAMN12768620	II	human
GCA_015627525.1_PDT000403460.1	SAMN10389858	II	food
GCA_015627505.1_PDT000403461.1	SAMN10389861	II	animal
GCA_015627485.1_PDT000420723.1	SAMN10612500	II	animal
GCA_015627445.1_PDT000417462.1	SAMN10579134	II	food
GCA_015627455.1_PDT000420683.1	SAMN10612498	II	animal
GCA_015560445.1_ASM1556044v1	SAMN15532369	II	human
GCA_015560285.1_ASM1556028v1	SAMN15532655	II	human
GCA_015560205.1_ASM1556020v1	SAMN15532895	II	human
GCA_015559335.1_ASM1555933v1	SAMN15533196	II	human
GCA_015558245.1_ASM1555824v1	SAMN15532934	I	human
GCA_015557795.1_ASM1555779v1	SAMN15532453	IV	human
GCA_015557065.1_ASM1555706v1	SAMN15532867	I	human
GCA_015556925.1_ASM1555692v1	SAMN15532866	II	human
GCA_015556705.1_ASM1555670v1	SAMN15533299	I	human
GCA_015556615.1_ASM1555661v1	SAMN15532969	IV	human
GCA_015556505.1_ASM1555650v1	SAMN15532780	I	human
GCA_015556025.1_ASM1555602v1	SAMN15533146	II	human
GCA_015555895.1_ASM1555589v1	SAMN15532712	IV	human
GCA_015555705.1_ASM1555570v1	SAMN15532398	II	human
GCA_015555555.1_ASM1555555v1	SAMN15532391	IV	human
GCA_015554935.1_ASM1555493v1	SAMN15532762	II	human
GCA_015554795.1_ASM1555479v1	SAMN15533281	III	human
GCA_015554495.1_ASM1555449v1	SAMN15532669	II	human
GCA_015554345.1_ASM1555434v1	SAMN15533216	II	human
GCA_015552915.1_ASM1555291v1	SAMN15532536	II	human
GCA_015552705.1_ASM1555270v1	SAMN15532433	II	human
GCA_015551885.1_ASM1555188v1	SAMN15532736	II	human
GCA_015551665.1_ASM1555166v1	SAMN15533015	II	human
GCA_015551125.1_ASM1555112v1	SAMN15533262	IV	human
GCA_015550935.1_ASM1555093v1	SAMN15532888	II	human
GCA_015550885.1_ASM1555088v1	SAMN15532677	II	human
GCA_015550225.1_ASM1555022v1	SAMN15532586	I	human
GCA_015550095.1_ASM1555009v1	SAMN15532588	I	human
GCA_015549905.1_ASM1554990v1	SAMN15532743	II	human
GCA_015549475.1_ASM1554947v1	SAMN15533025	II	human
GCA_015549165.1_ASM1554916v1	SAMN15532827	II	human
GCA_015547115.1_ASM1554711v1	SAMN15532854	I	human
GCA_015547065.1_ASM1554706v1	SAMN15532987	II	human
GCA_015546985.1_ASM1554698v1	SAMN15533208	II	human
GCA_902379005.2_UHGG_MGYG-HGUT-01694	SAMEA5851198	I	human
GCA_015498315.1_PDT000693976.1	SAMEA3304533	II	na
GCA_902162085.1_25426_7_352	SAMEA104567740	I	human
GCA_015497155.1_PDT000694049.1	SAMEA3614317	II	human
GCA_015497135.1_PDT000694058.1	SAMEA3614326	II	human
GCA_015497095.1_PDT000694060.1	SAMEA3614328	II	human
GCA_015505365.1_PDT000417457.1	SAMN10579129	II	animal
GCA_015505385.1_PDT000423351.1	SAMN10654011	II	animal
GCA_015505345.1_PDT000424633.1	SAMN10656504	II	animal
GCA_015505355.1_PDT000423352.1	SAMN10654014	II	food
GCA_015538985.1_ASM1553898v1	SAMN15546600	II	human
GCA_015538975.1_ASM1553897v1	SAMN15546599	II	human
GCA_015538945.1_ASM1553894v1	SAMN15546602	II	human
GCA_015538935.1_ASM1553893v1	SAMN15546603	II	human
